tau,fired,precision,recall,f1,alerts_per_day
0.05,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.06,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.07,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.08,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.09,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.1,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.11,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.12,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.13,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.14,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.15,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.16,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.17,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.18,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.19,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.2,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.21,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.22,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.23,32649,0.3780513951422708,1.0,0.548675320056899,147.73303167420815
0.24,32566,0.37846219984032425,0.9985416835453294,0.5488877507849206,147.35746606334843
0.25,32058,0.3822758749766049,0.9928704528882768,0.5520145942658949,145.05882352941177
0.26,30875,0.38953846153846156,0.9743984444624484,0.5565736498681105,139.7058823529412
0.27,30199,0.3919003940527832,0.9588430689459613,0.556391330920032,136.64705882352942
0.28,30050,0.3930116472545757,0.9568176294255853,0.5571674568914678,135.97285067873304
0.29,30019,0.3934175022485759,0.9568176294255853,0.557575185307587,135.83257918552036
0.3,29920,0.3918114973262032,0.9497690998946772,0.5547642145612001,135.3846153846154
0.31,29872,0.3920728441349759,0.9488779065057117,0.5548738600023687,135.16742081447964
0.32,29872,0.3920728441349759,0.9488779065057117,0.5548738600023687,135.16742081447964
0.33,29795,0.39251552273871454,0.9475006076318561,0.5550809245811381,134.81900452488688
0.34,29722,0.3930085458582868,0.9463663615004456,0.5553785807678593,134.48868778280544
0.35,29698,0.3925516869822884,0.9445029571416997,0.5546014604790562,134.38009049773757
0.36,29465,0.3914814186322756,0.9345377947014503,0.5518082663605052,133.32579185520362
0.37,27820,0.40593098490294754,0.9149315401442113,0.5623583895625327,125.88235294117646
0.38,26510,0.41380611090154656,0.8887628615409544,0.5646925591331429,119.95475113122171
0.39,24074,0.4287197806762482,0.8361824515919954,0.566823186973117,108.93212669683258
0.4,21567,0.44359438030324105,0.7750951956574577,0.5642583308758479,97.58823529411765
0.41,19130,0.46680606377417666,0.7234869966782792,0.5674705302958091,86.56108597285068
0.42,16301,0.4784982516410036,0.6319371303572875,0.5446166736489317,73.76018099547511
0.43,14580,0.5050068587105624,0.5965324475411165,0.546967277049363,65.97285067873302
0.44,12289,0.5229066644967044,0.5206189743174269,0.5217603117895422,55.60633484162896
0.45,10875,0.5472183908045977,0.4821356234302844,0.5126195193384443,49.20814479638009
0.46,9081,0.5539037550930515,0.4075184314996354,0.4695668409260642,41.09049773755656
0.47,7785,0.5703275529865125,0.3597180588187637,0.4411764705882353,35.2262443438914
0.48,6926,0.5876407738954663,0.32974155391720006,0.42244018890445795,31.339366515837103
0.49,6138,0.6057347670250897,0.30122336547030704,0.4023591796980683,27.773755656108598
0.5,5575,0.6052017937219731,0.27335331766993437,0.37660453175577635,25.226244343891402
0.51,5365,0.6057781919850885,0.2633071376488698,0.367065733002033,24.27601809954751
0.52,4843,0.621928556679744,0.24402495341489103,0.3505178633771675,21.914027149321267
0.53,3386,0.6278795038393384,0.17224337681276838,0.2703286922245534,15.321266968325792
0.54,2424,0.6431518151815182,0.12630640849064248,0.21114647524886573,10.968325791855204
0.55,2001,0.665167416291854,0.10783440006481407,0.18558282208588958,9.054298642533936
0.56,1565,0.7041533546325879,0.08928137405817062,0.15846994535519124,7.081447963800905
0.57,1272,0.6933962264150944,0.0714575062788625,0.12956298200514138,5.755656108597285
0.58,1072,0.6809701492537313,0.05914283399497691,0.1088333954528513,4.850678733031674
0.59,1028,0.6848249027237354,0.057036376893785955,0.10530252037992673,4.65158371040724
0.6,930,0.7032258064516129,0.05298549785303411,0.09854592028930913,4.208144796380091
0.61,758,0.7084432717678101,0.043506440897674796,0.0819784749255782,3.429864253393665
0.62,660,0.746969696969697,0.039941667341813175,0.07582865492578636,2.986425339366516
0.63,657,0.745814307458143,0.03969861459936806,0.07538461538461538,2.9728506787330318
0.64,527,0.8349146110056926,0.03564773555861622,0.06837606837606838,2.3846153846153846
0.65,229,0.777292576419214,0.014421129385076562,0.028316894686605153,1.0361990950226245
0.66,0,,0.0,,0.0
0.67,0,,0.0,,0.0
0.68,0,,0.0,,0.0
0.69,0,,0.0,,0.0
0.7,0,,0.0,,0.0
0.71,0,,0.0,,0.0
0.72,0,,0.0,,0.0
0.73,0,,0.0,,0.0
0.74,0,,0.0,,0.0
0.75,0,,0.0,,0.0
0.76,0,,0.0,,0.0
0.77,0,,0.0,,0.0
0.78,0,,0.0,,0.0
0.79,0,,0.0,,0.0
0.8,0,,0.0,,0.0
0.81,0,,0.0,,0.0
0.82,0,,0.0,,0.0
0.83,0,,0.0,,0.0
0.84,0,,0.0,,0.0
0.85,0,,0.0,,0.0
0.86,0,,0.0,,0.0
0.87,0,,0.0,,0.0
0.88,0,,0.0,,0.0
0.89,0,,0.0,,0.0
0.9,0,,0.0,,0.0
0.91,0,,0.0,,0.0
0.92,0,,0.0,,0.0
0.93,0,,0.0,,0.0
0.94,0,,0.0,,0.0
0.95,0,,0.0,,0.0
